model,field,n_pairs,agreement_rate,macro_f1,f1_true,f1_false,f1_ambiguous
qwen__qwen3-5-397b-a17b,stored.detected,20,0.4,0.3183,0.5263,0.4286,0.0
qwen__qwen3-5-397b-a17b,shared.detected,20,0.5,0.3791,0.4706,0.6667,0.0
qwen__qwen3-5-397b-a17b,shared.third_country_sharing,20,0.35,0.1944,0.0,0.5833,0.0
qwen__qwen3-5-397b-a17b,retention_policy.deletion,20,0.5,0.5095,0.4286,0.5,0.6
qwen__qwen3-5-397b-a17b,retention_policy.inactivity,20,0.95,0.5465,0.6667,0.973,0.0
qwen__qwen3-5-397b-a17b,data_minimization.adequate,20,0.55,0.5,0.4,0.7,0.4
qwen__qwen3-8b,collected.detected,20,0.3,0.251,0.3529,0.4,0.0
qwen__qwen3-8b,stored.detected,20,0.35,0.268,0.4706,0.3333,0.0
qwen__qwen3-8b,shared.detected,20,0.6,0.4183,0.5882,0.6667,0.0
qwen__qwen3-8b,shared.third_country_sharing,20,0.5,0.3159,0.0,0.64,0.3077
qwen__qwen3-8b,retention_policy.deletion,20,0.3,0.2348,0.0,0.4545,0.25
qwen__qwen3-8b,retention_policy.inactivity,20,0.85,0.3063,0.0,0.9189,0.0
qwen__qwen3-8b,data_minimization.adequate,20,0.5,0.3556,0.4,0.6667,0.0
